TARGET, TARGETLABEL, STAT, LABEL, TRAIN, VALIDATE, TEST, 
good_bad, , _ASE_, Average Squared Error, 0.1680611662, 0.1753239739, 0.183064087, 
good_bad, , _DIV_, Divisor for ASE, 1398, 300, 302, 
good_bad, , _MAX_, Maximum Absolute Error, 0.8412563504, 0.8695827453, 0.8541985268, 
good_bad, , _NOBS_, Sum of Frequencies, 699, 150, 151, 
good_bad, , _RASE_, Root Average Squared Error, 0.4099526389, 0.4187170571, 0.4278598917, 
good_bad, , _SSE_, Sum of Squared Errors, 234.94951029, 52.597192164, 55.285354263, 
good_bad, , _DISF_, Frequency of Classified Cases, 699, 150, 151, 
good_bad, , _MISC_, Misclassification Rate, 0.2632331903, 0.3066666667, 0.2913907285, 
good_bad, , _WRONG_, Number of Wrong Classifications, 184, 46, 44, 
